Question_ID,Section,Collection_Mode,Question_Text,Response_Type,Allowed_Values_or_Unit,Required_Level,Required_When,Preferred_Source,Fallback_Sources,Default_Owner,Target_Outputs,Destination
CMP-004,Compute,ARCHITECT_DECISION,What target OS and approved image will each server tier use?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,DXC,TSS|UAQ,Compute Architect,TOPOLOGY|ADS|DDD,04_Servers
CMP-005,Compute,HITL_OWNER,Which OS customizations agents NTP sources timezones and administration methods are required?,LONG_TEXT,,REQUIRED,,Application Owner,Deep Dive Notes|SUD,Compute Architect,ADS|DDD,03_Answers
PLT-001,Platform,AUTO_IMPORT,Which programming languages frameworks runtimes and middleware are used?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,UAQ,Deep Dive Notes,Application Technical Lead,ADS|DDD,08_Tech_Stack
PLT-002,Platform,HITL_OWNER,Which third-party products native libraries or application-server dependencies are required?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE|NOT_APPLICABLE,REQUIRED,,Application Owner,UAQ|Deep Dive Notes,Application Technical Lead,ADS|DDD,08_Tech_Stack
PLT-003,Platform,HITL_OWNER,Are IPs hostnames URLs endpoints or credentials hard-coded or stored in configuration?,SINGLE_SELECT,YES|NO|CONFIG_ONLY|UNKNOWN,REQUIRED,,Application Owner,UAQ|Deep Dive Notes,Application Technical Lead,ALL,03_Answers
TSS-001,Technology Standards,HITL_PORTAL,Has every current and target technology row been verified in TSS?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,TSS,Deep Dive Notes,Platform SME,ADS|DDD,08_Tech_Stack
TSS-002,Technology Standards,HITL_PORTAL,Which products are not on a mainstream approved version?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE|NOT_APPLICABLE,CONDITIONAL,Technology inventory exists,TSS,Deep Dive Notes,Platform Architect,ADS|DDD,08_Tech_Stack
TSS-003,Technology Standards,HITL_PORTAL,Which TSS exceptions are required and what are their IDs approvals expirations and remediation plans?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE|NOT_APPLICABLE,CONDITIONAL,Any product is not approved,TSS,DXC,Platform Architect,ADS|DDD,08_Tech_Stack
NET-001,Network,AUTO_IMPORT,Does the target require IPv4 IPv6 or dual stack?,SINGLE_SELECT,IPV4|IPV6|DUAL_STACK|UNKNOWN,REQUIRED,,UAQ,Network Architect,Network Architect,TOPOLOGY|ADS|DDD,03_Answers
NET-002,Network,AUTO_IMPORT,Is a load balancer reverse proxy or WAF used today?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,UAQ,Deep Dive Notes,Network Architect,TOPOLOGY|ADS|DDD,03_Answers
NET-003,Network,ARCHITECT_DECISION,Is an ALB NLB F5 reverse proxy or WAF approved for target state?,SINGLE_SELECT,NONE|ALB|NLB|F5|OTHER|UNDECIDED,REQUIRED,,Architect Decision,UAQ|DXC,Network Architect,TOPOLOGY|ADS|DDD,12_Target_Design
NET-004,Network,HITL_OWNER,Which custom DNS names vanity URLs and private hosted zones are required?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE|NOT_APPLICABLE,CONDITIONAL,Application uses DNS names,Application Owner,UAQ|PORT,Network Architect,TOPOLOGY|ADS|DDD,10_Network_Rules
NET-005,Network,HITL_OWNER,Is inbound access required from external users or the public internet?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,Application Owner,UAQ|iTAP,Security Architect,TOPOLOGY|ADS|DDD,03_Answers
NET-006,Network,HITL_OWNER,Is inbound or outbound connectivity required with third parties SaaS or vendor-hosted systems?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,Interface Tracking,UAQ|iTAP,Network Architect,TOPOLOGY|ADS|DDD,05_Interfaces
NET-007,Network,HITL_OWNER,Is outbound internet access required and must it use a proxy?,CONTROLLED_PAIR,INTERNET_YN|PROXY_YN,REQUIRED,,Application Owner,UAQ,Network Architect,TOPOLOGY|ADS|DDD,03_Answers
NET-008,Network,HITL_OWNER,Is VPN Direct Connect private circuit or other private connectivity required?,MULTI_SELECT,NONE|VPN|DIRECT_CONNECT|PRIVATE_CIRCUIT|OTHER|UNKNOWN,REQUIRED,,Application Owner,UAQ|PORT,Network Architect,TOPOLOGY|ADS|DDD,03_Answers
NET-009,Network,HITL_OWNER,What latency and bandwidth are required and what evidence window supports them?,MEASUREMENT_PAIR,ms|Mbps|Gbps,REQUIRED,,Application Owner,UAQ|Network Monitoring Export,Network Architect,ADS|DDD,03_Answers
NET-010,Network,HITL_OWNER,Does the application require multicast layer-2 promiscuous mode jumbo frames affinity or anti-affinity?,MULTI_SELECT,NONE|MULTICAST|LAYER2|PROMISCUOUS|JUMBO|AFFINITY|ANTI_AFFINITY|UNKNOWN,REQUIRED,,UAQ,Application Owner,Network Architect,ADS|DDD,03_Answers
NET-011,Network,ARCHITECT_DECISION,Are target subnet segmentation routing DNS firewall security-group and NACL records complete?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,Network Architect,DXC|UAQ,Network Architect,TOPOLOGY|ADS|DDD,10_Network_Rules
INT-001,Interfaces,AUTO_IMPORT,Is the directional interface register complete for every current provider and consumer flow?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,Interface Tracking,iTAP|UAQ,Interface Lead,TOPOLOGY|ADS|DDD,05_Interfaces
INT-002,Interfaces,HITL_OWNER,Which interfaces require endpoint protocol port authentication or code changes for migration?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE|NOT_APPLICABLE,REQUIRED,,Interface Tracking,UAQ|Application Owner,Interface Lead,TOPOLOGY|ADS|DDD,05_Interfaces
INT-003,Interfaces,HITL_OWNER,Are owner commitment funding connectivity test and UAT status recorded for each interface?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,Interface Tracking,DXC,Interface Lead,ADS|DDD,05_Interfaces
DB-001,Database,AUTO_IMPORT,Does the application use a database?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,UAQ,Deep Dive Notes,DBA,TOPOLOGY|ADS|DDD,03_Answers
DB-002,Database,AUTO_IMPORT,Are database instances engines versions editions hosts sizes and environments complete?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,CONDITIONAL,DB-001=YES,UAQ,PORT|Deep Dive Notes,DBA,TOPOLOGY|ADS|DDD,06_Databases
DB-003,Database,HITL_OWNER,Are RAC CDB/PDB ASM filesystem ARCHIVELOG Data Guard GoldenGate and DB-link settings complete?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE|NOT_APPLICABLE,CONDITIONAL,DB-001=YES,Deep Dive Notes,UAQ|PORT,DBA,ADS|DDD,06_Databases
DB-004,Database,HITL_OWNER,Are character set NLS schemas objects users roles and authentication methods complete?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,CONDITIONAL,DB-001=YES,DBA,Deep Dive Notes,DBA,ADS|DDD,06_Databases
DB-005,Database,HITL_OWNER,Are database TDE wallets certificates and TLS requirements complete?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE|NOT_APPLICABLE,CONDITIONAL,DB-001=YES,DBA,UAQ|Deep Dive Notes,DBA|Security Architect,ADS|DDD,06_Databases
DB-006,Database,HITL_OWNER,Are backup frequency retention location restore testing and monitoring complete?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,CONDITIONAL,DB-001=YES,Deep Dive Notes,UAQ,DBA,ADS|DDD,06_Databases
DB-007,Database,HITL_OWNER,Are SGA PGA HugePages kernel parameters archive generation and record volumes complete?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,CONDITIONAL,DB-001=YES,DBA,SUD|Deep Dive Notes,DBA,ADS|DDD,06_Databases
DB-008,Database,ARCHITECT_DECISION,Are target DB version topology storage sizing licensing migration and rollback decisions approved?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,CONDITIONAL,DB-001=YES,DB Architect,TSS|DXC|UAQ,DB Architect,TOPOLOGY|ADS|DDD,06_Databases
STG-001,Storage,AUTO_IMPORT,Which local disk NFS NAS iSCSI SAN and object-storage dependencies exist?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,UAQ,Deep Dive Notes|SUD,Storage Architect,TOPOLOGY|ADS|DDD,07_Storage
STG-002,Storage,HITL_PORTAL,Are provisioned used and utilization values complete per host mount and measurement window?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,SUD,Wave Sizing Evidence|Deep Dive Notes,Storage Analyst,ADS|DDD,07_Storage
STG-003,Storage,HITL_OWNER,What annual growth is expected and what history supports it?,MEASUREMENT,percent_per_year,REQUIRED,,Application Owner,UAQ|SUD|Wave Sizing Evidence,Application Owner,ADS|DDD,07_Storage
STG-004,Storage,HITL_OWNER,What average peak and percentile IOPS throughput and latency are required?,MEASUREMENT_SET,IOPS|MBps|ms,REQUIRED,,SUD,Wave Sizing Evidence|UAQ,Storage Architect,ADS|DDD,07_Storage
STG-005,Storage,HITL_OWNER,Are current backup encryption retention and restore-testing details complete?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,Deep Dive Notes,UAQ,Storage Architect,ADS|DDD,07_Storage
STG-006,Storage,ARCHITECT_DECISION,Are target storage types mount layouts sizes performance encryption and migration methods approved?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,Storage Architect,DXC|Wave Sizing Evidence,Storage Architect,TOPOLOGY|ADS|DDD,07_Storage
SEC-001,Security,AUTO_IMPORT,Does the application store process or transmit PII?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,iTAP,UAQ,Security Architect,ADS|DDD,03_Answers
SEC-002,Security,AUTO_IMPORT,Does the application store process or transmit SPI?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,iTAP,UAQ,Security Architect,ADS|DDD,03_Answers
SEC-003,Security,AUTO_IMPORT,Does the application store process or transmit RPI?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,iTAP,UAQ,Security Architect,ADS|DDD,03_Answers
SEC-004,Security,AUTO_IMPORT,Does the application store PCI data?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,iTAP,UAQ,Security Architect,ADS|DDD,03_Answers
SEC-005,Security,AUTO_IMPORT,Does the application process PCI data?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,iTAP,UAQ,Security Architect,ADS|DDD,03_Answers
SEC-006,Security,AUTO_IMPORT,Does the application interface with PCI systems?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,iTAP,UAQ|Interface Tracking,Security Architect,ADS|DDD,03_Answers
SEC-007,Security,HITL_OWNER,Is PCI-DSS validation required for target state and why?,BOOLEAN_WITH_RATIONALE,YES|NO|UNKNOWN,CONDITIONAL,SEC-004=YES OR SEC-005=YES OR SEC-006=YES,Security Architect,UAQ,Security Architect,ADS|DDD,03_Answers
SEC-008,Security,AUTO_IMPORT,Are SOX/FSA CPNI federal/CUI and other regulatory indicators complete?,CONTROLLED_SET,YES|NO|UNKNOWN per control,REQUIRED,,iTAP,UAQ,Security Architect,ADS|DDD,03_Answers
SEC-009,Security,HITL_OWNER,What authentication authorization MFA service-account and privileged-access patterns are used today?,LONG_TEXT,,REQUIRED,,UAQ,Deep Dive Notes,Security Architect,ADS|DDD,03_Answers
SEC-010,Security,ARCHITECT_DECISION,What target IAM roles groups members and access patterns are approved?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,Security Architect,DXC|UAQ,Security Architect,ADS|DDD,11_IAM_Roles
SEC-011,Security,HITL_OWNER,What current TLS certificate manager rotation period and termination points are used?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,UAQ,Deep Dive Notes,Security Architect,TOPOLOGY|ADS|DDD,03_Answers
SEC-012,Security,ARCHITECT_DECISION,Are target TLS KMS CMK Secrets Manager certificate and encryption decisions approved?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,Security Architect,UAQ|DXC,Security Architect,TOPOLOGY|ADS|DDD,12_Target_Design
RES-001,Resilience,AUTO_IMPORT,What are the approved RTO RPO recovery tier and DR priority?,MEASUREMENT_SET,hours|days,REQUIRED,,iTAP,UAQ,Resilience Architect,TOPOLOGY|ADS|DDD,03_Answers
RES-002,Resilience,HITL_OWNER,What HA clustering replication failover and DR capabilities exist today?,LONG_TEXT,,REQUIRED,,Deep Dive Notes,UAQ,Resilience Architect,TOPOLOGY|ADS|DDD,03_Answers
RES-003,Resilience,HITL_OWNER,Has backup restoration or disaster recovery been tested and when?,EVIDENCE_REFERENCE,,REQUIRED,,Application Owner,Deep Dive Notes|UAQ,Resilience Architect,ADS|DDD,03_Answers
RES-004,Resilience,ARCHITECT_DECISION,What target HA pattern is approved?,SINGLE_SELECT,NONE|MULTI_AZ|CLUSTER|ACTIVE_PASSIVE|OTHER|UNDECIDED,REQUIRED,,Architect Decision,UAQ|DXC,Resilience Architect,TOPOLOGY|ADS|DDD,12_Target_Design
RES-005,Resilience,ARCHITECT_DECISION,What target DR pattern location failover mode and restore sequence are approved?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE|NOT_APPLICABLE,REQUIRED,,Architect Decision,iTAP|UAQ,Resilience Architect,TOPOLOGY|ADS|DDD,12_Target_Design
RES-006,Resilience,ARCHITECT_DECISION,Does the target strategy demonstrably satisfy the approved RTO and RPO?,BOOLEAN_WITH_RATIONALE,YES|NO|UNDECIDED,REQUIRED,,Architect Decision,Wave Sizing Evidence|DXC,Resilience Architect,ADS|DDD,13_Gaps_Decisions
BAT-001,Batch,HITL_OWNER,Does the application run batch scheduled or cron workloads?,BOOLEAN,YES|NO|UNKNOWN,REQUIRED,,Deep Dive Notes,UAQ,Application Technical Lead,ADS|DDD,03_Answers
BAT-002,Batch,HITL_OWNER,Are scheduler jobs groups frequency runtime host tier dependencies owner criticality and data flows complete?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,CONDITIONAL,BAT-001=YES,Application Owner,Deep Dive Notes|Batch Job Export,Application Technical Lead,ADS|DDD,09_Batch_Jobs
BAT-003,Batch,HITL_OWNER,How will batch jobs be sequenced tested cut over and rolled back?,LONG_TEXT,,CONDITIONAL,BAT-001=YES,Application Owner,DXC|Batch Job Export,Application Technical Lead,ADS|DDD,03_Answers
DEV-001,DevOps,AUTO_IMPORT,Which source repositories and artifact repositories are active?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,UAQ,Deep Dive Notes,DevOps Lead,ADS|DDD,03_Answers
DEV-002,DevOps,HITL_OWNER,How are builds releases and deployments performed today?,LONG_TEXT,,REQUIRED,,UAQ,Application Owner,DevOps Lead,ADS|DDD,03_Answers
DEV-003,DevOps,ARCHITECT_DECISION,What target deployment strategy IaC image pipeline and artifact-signing approach are approved?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,DevOps Architect,TSS|DXC|UAQ,DevOps Architect,ADS|DDD,12_Target_Design
DEV-004,DevOps,HITL_OWNER,Which required target resources are available through InfraSecOps and which are not?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,InfraSecOps Owner,TSS|DXC,DevOps Architect,ADS|DDD,12_Target_Design
DEV-005,DevOps,HITL_OWNER,For resources outside InfraSecOps what blocker workaround owner and remediation date apply?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE|NOT_APPLICABLE,CONDITIONAL,Any resource is outside InfraSecOps,InfraSecOps Owner,DXC,DevOps Architect,ADS|DDD,13_Gaps_Decisions
OPS-001,Operations,AUTO_IMPORT,What support model hours and escalation contacts apply?,LONG_TEXT,,REQUIRED,,UAQ,iTAP|Deep Dive Notes,Operations Lead,ADS|DDD,03_Answers
OPS-002,Operations,AUTO_IMPORT,Which infrastructure application database security and log monitoring tools are used today?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,UAQ,Deep Dive Notes,Operations Lead,ADS|DDD,03_Answers
OPS-003,Operations,ARCHITECT_DECISION,What target monitoring logging alert thresholds retention and ownership are approved?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,Operations Architect,UAQ|DXC,Operations Architect,ADS|DDD,12_Target_Design
OPS-004,Operations,HITL_OWNER,Are patching change incident runbook maintenance and lifecycle procedures complete?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,UAQ,Deep Dive Notes,Operations Lead,ADS|DDD,03_Answers
WAV-001,Wave and Capacity,AUTO_IMPORT,What migration wave and cohort are assigned?,TEXT,,REQUIRED,,iTAP,UAQ|Wave Execution Plan,Wave Lead,ADS|DDD,03_Answers
WAV-002,Wave and Capacity,HITL_OWNER,Which approved Wave Sizing evidence item covers this exact application and wave?,EVIDENCE_REFERENCE,,REQUIRED,,Wave Sizing Evidence,SUD,Wave Lead,ADS|DDD,02_Source_Register
WAV-003,Wave and Capacity,DERIVED,Does the Wave Sizing evidence contain exactly one matching application ID and the expected server population?,VALIDATION_RESULT,PASS|FAIL|BLOCKED,REQUIRED,,Wave Sizing Evidence,iTAP|SUD,Capacity Architect,ADS|DDD,13_Gaps_Decisions
WAV-004,Wave and Capacity,DERIVED,Are source allocation and utilization fields distinguished from formula-derived optimized sizing and defaults?,VALIDATION_RESULT,PASS|FAIL|BLOCKED,REQUIRED,,Wave Sizing Evidence,SUD,Capacity Architect,ADS|DDD,13_Gaps_Decisions
WAV-005,Wave and Capacity,HITL_OWNER,What utilization measurement start end interval percentile and extraction source apply?,MEASUREMENT_CONTEXT,,REQUIRED,,SUD,Wave Sizing Evidence,Capacity Architect,ADS|DDD,04_Servers
WAV-006,Wave and Capacity,HITL_OWNER,What Wave Execution Plan defines shared capacity headroom contention risks and placement constraints?,EVIDENCE_REFERENCE,,REQUIRED,,Wave Execution Plan,Wave Sizing Evidence|SUD,Wave Lead,ADS|DDD,02_Source_Register
WAV-007,Wave and Capacity,HITL_OWNER,What sequencing concurrent migrations blackout dates and cutover constraints apply?,LONG_TEXT,,REQUIRED,,Wave Execution Plan,DXC|Application Owner,Wave Lead,ADS|DDD,03_Answers
WAV-008,Wave and Capacity,DERIVED,Are external workbook links formulas cached errors default fallbacks and calculation-version lineage documented?,VALIDATION_RESULT,PASS|FAIL|BLOCKED,REQUIRED,,Wave Sizing Evidence,Source Register,Capacity Architect,ADS|DDD,13_Gaps_Decisions
WAV-009,Wave and Capacity,ARCHITECT_DECISION,Are the recommended instance type vCPU memory storage target DC and exception results approved for this application?,APPROVAL,APPROVED|REQUEST_CHANGES|REJECTED|UNDECIDED,REQUIRED,,Capacity Architect,Wave Sizing Evidence|SUD|DXC,Capacity Architect,ADS|DDD,14_Approvals
WAV-010,Wave and Capacity,DERIVED,Does approved wave demand fit documented target-site available capacity and required headroom?,VALIDATION_RESULT,PASS|FAIL|BLOCKED,REQUIRED,,Wave Capacity Baseline,Wave Sizing Evidence|Wave Execution Plan,Capacity Architect,ADS|DDD,13_Gaps_Decisions
TGT-001,Target Design,ARCHITECT_DECISION,What migration disposition applies to each application component?,SINGLE_SELECT_PER_COMPONENT,REHOST|REPLATFORM|REFACTOR|REPLACE|RETIRE|RETAIN,REQUIRED,,Architect Decision,UAQ,Application Architect,TOPOLOGY|ADS|DDD,12_Target_Design
TGT-002,Target Design,HITL_PORTAL,What approved target AWS region Outpost site and logical ID apply?,CONTROLLED_SET,,REQUIRED,,DXC,Architect Decision,Cloud Architect,TOPOLOGY|ADS|DDD,12_Target_Design
TGT-003,Target Design,HITL_PORTAL,What target account IDs account classes and environment mappings apply?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,DXC,iTAP,Cloud Architect,TOPOLOGY|ADS|DDD,12_Target_Design
TGT-004,Target Design,ARCHITECT_DECISION,What VPC subnet CIDR route DNS security-group NACL and endpoint design is approved?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,Network Architect,DXC|Naming Standard,Network Architect,TOPOLOGY|ADS|DDD,10_Network_Rules
TGT-005,Target Design,HITL_PORTAL,What approved instance identifiers sizes images disks agents and target hostnames apply?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,DXC,SUD|TSS|Approved Wave Sizing,Compute Architect,TOPOLOGY|ADS|DDD,04_Servers
TGT-006,Target Design,DERIVED,Do all target resource names pass the approved naming convention?,VALIDATION_RESULT,PASS|FAIL|BLOCKED,REQUIRED,,Naming Workbook,Architect Decision,Cloud Architect,TOPOLOGY|ADS|DDD,12_Target_Design
TGT-007,Target Design,ARCHITECT_DECISION,Which generated target topology evidence item is approved for ADS and DDD?,EVIDENCE_REFERENCE,,REQUIRED,,Topology Generator,Architect Decision,Cloud Architect,TOPOLOGY|ADS|DDD,14_Approvals
MIG-001,Migration,AUTO_IMPORT,What is the application Go or No-Go decision and who approved it?,DECISION_WITH_PERSON,GO|NO_GO|CONDITIONAL|UNDECIDED,REQUIRED,,UAQ,Application Owner,Migration Lead,ADS|DDD,03_Answers
MIG-002,Migration,AUTO_IMPORT,What migration blockers concerns and mandatory dependencies exist?,LONG_TEXT,,REQUIRED,,UAQ,Deep Dive Notes,Migration Lead,ADS|DDD,13_Gaps_Decisions
MIG-003,Migration,HITL_OWNER,What cutover window notification freeze and sequencing requirements apply?,LONG_TEXT,,REQUIRED,,UAQ,Wave Execution Plan|DXC,Migration Lead,ADS|DDD,03_Answers
MIG-004,Migration,HITL_OWNER,What implementation and rollback steps owners durations and decision points apply?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,Migration Plan,DXC|Application Owner,Migration Lead,ADS|DDD,03_Answers
MIG-005,Migration,HITL_OWNER,What smoke regression performance interface security and UAT tests prove success?,REGISTER_STATUS,NOT_STARTED|IN_PROGRESS|COMPLETE,REQUIRED,,Test Plan,UAQ|Interface Tracking,Test Lead,ADS|DDD,03_Answers
MIG-006,Migration,ARCHITECT_DECISION,What measurable entry exit acceptance and abort criteria are approved?,LONG_TEXT,,REQUIRED,,Architect Decision,DXC|Test Plan,Migration Architect,ADS|DDD,14_Approvals
RSK-001,Risks and Decisions,DERIVED,Which required facts are missing conflicting invalid stale or unverified?,ISSUE_REGISTER,,REQUIRED,,Canonical Validation,All Sources,Architect,ALL,13_Gaps_Decisions
RSK-002,Risks and Decisions,ARCHITECT_DECISION,Which assumptions risks and design decisions are accepted and what evidence supports them?,DECISION_REGISTER,,REQUIRED,,Architect Decision,All Sources,Architect,ALL,13_Gaps_Decisions
APR-001,Approvals,HITL_OWNER,Have application infrastructure network database security operations and migration owners reviewed their sections?,APPROVAL_REGISTER,,REQUIRED,,Named Reviewers,Canonical Intake,Migration Lead,ALL,14_Approvals
APR-002,Approvals,ARCHITECT_DECISION,Has the architect approved the topology for the named intake version?,APPROVAL,APPROVED|REQUEST_CHANGES|REJECTED,CONDITIONAL,TOPOLOGY requested,Architect,Topology Gap Report,Cloud Architect,TOPOLOGY,14_Approvals
APR-003,Approvals,ARCHITECT_DECISION,Has the architect approved the ADS draft for the named intake and template versions?,APPROVAL,APPROVED|REQUEST_CHANGES|REJECTED,CONDITIONAL,ADS requested,Architect,ADS Discrepancy Report,Application Architect,ADS,14_Approvals
APR-004,Approvals,ARCHITECT_DECISION,Has the architect approved the DDD draft for the named intake and template versions?,APPROVAL,APPROVED|REQUEST_CHANGES|REJECTED,CONDITIONAL,DDD requested,Architect,DDD Discrepancy Report,Application Architect,DDD,14_Approvals
